month,name,value
Jun-20,Education and Health Services,1.169329073
Jul-20,Education and Health Services,1.404205607
Aug-20,Education and Health Services,1.675070028
Sep-20,Education and Health Services,1.696551724
Oct-20,Education and Health Services,1.819034853
Nov-20,Education and Health Services,1.835180055
Dec-20,Education and Health Services,1.785413745
Jan-21,Education and Health Services,2.016369048
Feb-21,Education and Health Services,2.185135135
Mar-21,Education and Health Services,1.964613368
Apr-21,Education and Health Services,2.011734029
May-21,Education and Health Services,2.232984293
Jun-21,Education and Health Services,2.221935484
Jul-21,Education and Health Services,2.475195822
Aug-21,Education and Health Services,2.286259542
Sep-21,Education and Health Services,2.3757503
Oct-21,Education and Health Services,2.53874092
Nov-21,Education and Health Services,2.450980392
Dec-21,Education and Health Services,2.585106383
Jan-12,Professional and Business Services,1.004237288
Feb-12,Professional and Business Services,0.738142292
Mar-12,Professional and Business Services,0.885714286
Apr-12,Professional and Business Services,0.84463895
May-12,Professional and Business Services,0.759878419
Jun-12,Professional and Business Services,0.854304636
Jul-12,Professional and Business Services,0.852534562
Aug-12,Professional and Business Services,0.884848485
Sep-12,Professional and Business Services,0.821301775
Oct-12,Professional and Business Services,0.85600907
Nov-12,Professional and Business Services,0.814130435
Dec-12,Professional and Business Services,0.768467475
Jan-13,Professional and Business Services,0.882821388
Feb-13,Professional and Business Services,0.878190255
Mar-13,Professional and Business Services,0.862068966
Apr-13,Professional and Business Services,0.820043103
May-13,Professional and Business Services,0.860262009
Jun-13,Professional and Business Services,0.783472803
Jul-13,Professional and Business Services,0.719008264
Aug-13,Professional and Business Services,0.800197824
Sep-13,Professional and Business Services,0.779854621
Oct-13,Professional and Business Services,0.949015064
Nov-13,Professional and Business Services,0.785036881
Dec-13,Professional and Business Services,0.80625
Jan-14,Professional and Business Services,0.723857868
Feb-14,Professional and Business Services,0.85483871
Mar-14,Professional and Business Services,0.769920319
Apr-14,Professional and Business Services,0.842
May-14,Professional and Business Services,0.924487594
Jun-14,Professional and Business Services,0.892787524
Jul-14,Professional and Business Services,0.860663507
Aug-14,Professional and Business Services,0.902894491
Sep-14,Professional and Business Services,0.860146252
Oct-14,Professional and Business Services,0.886005561
Nov-14,Professional and Business Services,1.03965702
Dec-14,Professional and Business Services,1
Jan-15,Professional and Business Services,0.993236715
Feb-15,Professional and Business Services,1
Mar-15,Professional and Business Services,1.023234201
Apr-15,Professional and Business Services,1.131506849
May-15,Professional and Business Services,1.156367041
Jun-15,Professional and Business Services,1.07357212
Jul-15,Professional and Business Services,1.133531157
Aug-15,Professional and Business Services,1.050048123
Sep-15,Professional and Business Services,1.024930748
Oct-15,Professional and Business Services,1.117050691
Nov-15,Professional and Business Services,1.152466368
Dec-15,Professional and Business Services,0.985209532
Jan-16,Professional and Business Services,1.103622578
Feb-16,Professional and Business Services,1.110512129
Mar-16,Professional and Business Services,1.322841727
Apr-16,Professional and Business Services,0.956244303
May-16,Professional and Business Services,1.061131387
Jun-16,Professional and Business Services,1.068224299
Jul-16,Professional and Business Services,1.051390059
Aug-16,Professional and Business Services,1
Sep-16,Professional and Business Services,1.099543379
Oct-16,Professional and Business Services,0.931882687
Nov-16,Professional and Business Services,1.099462366
Dec-16,Professional and Business Services,0.978280543
Jan-17,Professional and Business Services,0.873889876
Feb-17,Professional and Business Services,0.934597156
Mar-17,Professional and Business Services,0.964627151
Apr-17,Professional and Business Services,1.031527094
May-17,Professional and Business Services,0.919854281
Jun-17,Professional and Business Services,0.9896
Jul-17,Professional and Business Services,0.957662997
Aug-17,Professional and Business Services,0.958549223
Sep-17,Professional and Business Services,0.972052402
Oct-17,Professional and Business Services,1.125957447
Nov-17,Professional and Business Services,0.928186715
Dec-17,Professional and Business Services,0.911737089
Jan-18,Professional and Business Services,1.024839006
Feb-18,Professional and Business Services,0.947639485
Mar-18,Professional and Business Services,1.011904762
Apr-18,Professional and Business Services,1.073712256
May-18,Professional and Business Services,1.04757859
Jun-18,Professional and Business Services,1.045757072
Jul-18,Professional and Business Services,1.112688554
Aug-18,Professional and Business Services,1.185983827
Sep-18,Professional and Business Services,1.206708976
Oct-18,Professional and Business Services,1.155405405
Nov-18,Professional and Business Services,1.183421517
Dec-18,Professional and Business Services,1.183549784
Jan-19,Professional and Business Services,1.295561851
Feb-19,Professional and Business Services,1.175767918
Mar-19,Professional and Business Services,1.139949109
Apr-19,Professional and Business Services,0.939297125
May-19,Professional and Business Services,1.119860017
Jun-19,Professional and Business Services,1.152252252
Jul-19,Professional and Business Services,1.086695279
Aug-19,Professional and Business Services,1.112576957
Sep-19,Professional and Business Services,1.061962134
Oct-19,Professional and Business Services,1.100991885
Nov-19,Professional and Business Services,1.054973822
Dec-19,Professional and Business Services,1.084201389
Jan-20,Professional and Business Services,1.098106713
Feb-20,Professional and Business Services,1.154537287
Mar-20,Professional and Business Services,0.965638767
Apr-20,Professional and Business Services,0.979118329
May-20,Professional and Business Services,0.914744233
Jun-20,Professional and Business Services,0.869118905
Jul-20,Professional and Business Services,1.025022341
Aug-20,Professional and Business Services,0.993960311
Sep-20,Professional and Business Services,1.086236934
Oct-20,Professional and Business Services,1.127845884
Nov-20,Professional and Business Services,1.113934426
Dec-20,Professional and Business Services,1.291772689
Jan-21,Professional and Business Services,1.226351351
Feb-21,Professional and Business Services,1.2200489
Mar-21,Professional and Business Services,1.308072488
Apr-21,Professional and Business Services,1.437229437
May-21,Professional and Business Services,1.493955095
Jun-21,Professional and Business Services,1.462171053
Jul-21,Professional and Business Services,1.460377358
Aug-21,Professional and Business Services,1.571428571
Sep-21,Professional and Business Services,1.453968254
Oct-21,Professional and Business Services,1.559541985
Nov-21,Professional and Business Services,1.47027027
Dec-21,Professional and Business Services,1.667491749
Jan-12,Financial Activities,1.479041916
Feb-12,Financial Activities,1.09039548
Mar-12,Financial Activities,1.336956522
Apr-12,Financial Activities,1.07106599
May-12,Financial Activities,1.232044199
Jun-12,Financial Activities,1.255434783
Jul-12,Financial Activities,1.398773006
Aug-12,Financial Activities,1.319587629
Sep-12,Financial Activities,1.507537688
Oct-12,Financial Activities,1.312820513
Nov-12,Financial Activities,1.198067633
Dec-12,Financial Activities,1.5
Jan-13,Financial Activities,1.041284404
Feb-13,Financial Activities,1.442307692
Mar-13,Financial Activities,1.755434783
Apr-13,Financial Activities,1.340425532
May-13,Financial Activities,1.388392857
Jun-13,Financial Activities,1.647058824
Jul-13,Financial Activities,1.525114155
Aug-13,Financial Activities,1.206896552
Sep-13,Financial Activities,1.124444444
Oct-13,Financial Activities,1.347150259
Nov-13,Financial Activities,1.156756757
Dec-13,Financial Activities,1.375
Jan-14,Financial Activities,1.314465409
Feb-14,Financial Activities,1.370165746
Mar-14,Financial Activities,1.338383838
Apr-14,Financial Activities,1.511111111
May-14,Financial Activities,1.513227513
Jun-14,Financial Activities,1.855614973
Jul-14,Financial Activities,1.515306122
Aug-14,Financial Activities,1.706467662
Sep-14,Financial Activities,1.341346154
Oct-14,Financial Activities,2.102272727
Nov-14,Financial Activities,1.253218884
Dec-14,Financial Activities,1.339622642
Jan-15,Financial Activities,1.512077295
Feb-15,Financial Activities,2.10625
Mar-15,Financial Activities,1.442708333
Apr-15,Financial Activities,1.76076555
May-15,Financial Activities,1.77486911
Jun-15,Financial Activities,1.386138614
Jul-15,Financial Activities,1.793814433
Aug-15,Financial Activities,1.758241758
Sep-15,Financial Activities,1.595959596
Oct-15,Financial Activities,1.587378641
Nov-15,Financial Activities,1.686915888
Dec-15,Financial Activities,1.890410959
Jan-16,Financial Activities,1.573991031
Feb-16,Financial Activities,1.546296296
Mar-16,Financial Activities,1.495412844
Apr-16,Financial Activities,1.677884615
May-16,Financial Activities,1.789189189
Jun-16,Financial Activities,1.6
Jul-16,Financial Activities,1.838709677
Aug-16,Financial Activities,1.860824742
Sep-16,Financial Activities,1.940217391
Oct-16,Financial Activities,1.495192308
Nov-16,Financial Activities,1.92972973
Dec-16,Financial Activities,1.980099502
Jan-17,Financial Activities,1.695652174
Feb-17,Financial Activities,1.85483871
Mar-17,Financial Activities,1.560869565
Apr-17,Financial Activities,2.140776699
May-17,Financial Activities,1.617777778
Jun-17,Financial Activities,1.804761905
Jul-17,Financial Activities,1.691943128
Aug-17,Financial Activities,1.450236967
Sep-17,Financial Activities,2.272727273
Oct-17,Financial Activities,1.771551724
Nov-17,Financial Activities,1.9375
Dec-17,Financial Activities,1.861538462
Jan-18,Financial Activities,1.798165138
Feb-18,Financial Activities,1.980676329
Mar-18,Financial Activities,2.157894737
Apr-18,Financial Activities,1.609375
May-18,Financial Activities,1.792270531
Jun-18,Financial Activities,1.646017699
Jul-18,Financial Activities,2.112745098
Aug-18,Financial Activities,1.985576923
Sep-18,Financial Activities,1.639484979
Oct-18,Financial Activities,2.135416667
Nov-18,Financial Activities,2.014354067
Dec-18,Financial Activities,1.64953271
Jan-19,Financial Activities,2.183783784
Feb-19,Financial Activities,1.773869347
Mar-19,Financial Activities,1.854166667
Apr-19,Financial Activities,1.57079646
May-19,Financial Activities,1.693333333
Jun-19,Financial Activities,1.727272727
Jul-19,Financial Activities,1.488
Aug-19,Financial Activities,1.596638655
Sep-19,Financial Activities,1.628820961
Oct-19,Financial Activities,1.935779817
Nov-19,Financial Activities,1.524793388
Dec-19,Financial Activities,1.475336323
Jan-20,Financial Activities,1.949541284
Feb-20,Financial Activities,1.723140496
Mar-20,Financial Activities,1.502164502
Apr-20,Financial Activities,1.698113208
May-20,Financial Activities,1.5
Jun-20,Financial Activities,1.703517588
Jul-20,Financial Activities,1.207692308
Aug-20,Financial Activities,1.281385281
Sep-20,Financial Activities,1.253012048
Oct-20,Financial Activities,1.297959184
Nov-20,Financial Activities,1.338095238
Dec-20,Financial Activities,1.439613527
Jan-21,Financial Activities,1.346341463
Feb-21,Financial Activities,1.557788945
Mar-21,Financial Activities,1.634146341
Apr-21,Financial Activities,1.990697674
May-21,Financial Activities,1.922330097
Jun-21,Financial Activities,1.715686275
Jul-21,Financial Activities,2.186234818
Aug-21,Financial Activities,2.262135922
Sep-21,Financial Activities,1.510344828
Oct-21,Financial Activities,2.041284404
Nov-21,Financial Activities,2.111587983
Dec-21,Financial Activities,2.052401747
Jan-12,Information,1.62962963
Feb-12,Information,1.338028169
Mar-12,Information,1.492537313
Apr-12,Information,1.529411765
May-12,Information,1.166666667
Jun-12,Information,1.909090909
Jul-12,Information,1.470588235
Aug-12,Information,1.109756098
Sep-12,Information,1.610169492
Oct-12,Information,1.365079365
Nov-12,Information,1.444444444
Dec-12,Information,1.28358209
Jan-13,Information,1.241935484
Feb-13,Information,1.270588235
Mar-13,Information,1.98
Apr-13,Information,0.942857143
May-13,Information,1.24691358
Jun-13,Information,1.168539326
Jul-13,Information,1.153846154
Aug-13,Information,0.855421687
Sep-13,Information,1.063829787
Oct-13,Information,1.524390244
Nov-13,Information,1.461538462
Dec-13,Information,1.345238095
Jan-14,Information,1.21978022
Feb-14,Information,1.320987654
Mar-14,Information,1.153846154
Apr-14,Information,1.425
May-14,Information,1.527027027
Jun-14,Information,1.278481013
Jul-14,Information,1.244444444
Aug-14,Information,1.423076923
Sep-14,Information,1.391891892
Oct-14,Information,1.061728395
Nov-14,Information,1.177570093
Dec-14,Information,1.35443038
Jan-15,Information,1.3875
Feb-15,Information,1.666666667
Mar-15,Information,1.358024691
Apr-15,Information,1.297619048
May-15,Information,1.238636364
Jun-15,Information,1.4125
Jul-15,Information,1.524390244
Aug-15,Information,1.414634146
Sep-15,Information,1.414634146
Oct-15,Information,1.258426966
Nov-15,Information,0.897435897
Dec-15,Information,1.48
Jan-16,Information,1.261363636
Feb-16,Information,1.093023256
Mar-16,Information,1.171052632
Apr-16,Information,0.913043478
May-16,Information,1.583333333
Jun-16,Information,1.058823529
Jul-16,Information,1.012658228
Aug-16,Information,1.012820513
Sep-16,Information,1.275
Oct-16,Information,1.08974359
Nov-16,Information,0.964705882
Dec-16,Information,0.987804878
Jan-17,Information,0.988764045
Feb-17,Information,0.853658537
Mar-17,Information,1.116883117
Apr-17,Information,1.5
May-17,Information,1.41025641
Jun-17,Information,1.417721519
Jul-17,Information,1.166666667
Aug-17,Information,1.333333333
Sep-17,Information,1.092783505
Oct-17,Information,1.011111111
Nov-17,Information,1.102272727
Dec-17,Information,1.302083333
Jan-18,Information,1.376344086
Feb-18,Information,1.450549451
Mar-18,Information,1.402061856
Apr-18,Information,1.891304348
May-18,Information,1.329896907
Jun-18,Information,1.516483516
Jul-18,Information,1.69047619
Aug-18,Information,1.611111111
Sep-18,Information,1.310344828
Oct-18,Information,1.651162791
Nov-18,Information,1.418367347
Dec-18,Information,1.602409639
Jan-19,Information,1.651162791
Feb-19,Information,1.574712644
Mar-19,Information,1.504854369
Apr-19,Information,1.14893617
May-19,Information,1.222222222
Jun-19,Information,1.414893617
Jul-19,Information,1.565656566
Aug-19,Information,1.391304348
Sep-19,Information,1.849462366
Oct-19,Information,1.484536082
Nov-19,Information,1.606741573
Dec-19,Information,1.559139785
Jan-20,Information,1.739726027
Feb-20,Information,1.453608247
Mar-20,Information,1.680555556
Apr-20,Information,3.128205128
May-20,Information,1.318181818
Jun-20,Information,1.754385965
Jul-20,Information,1.023529412
Aug-20,Information,0.944444444
Sep-20,Information,1.099009901
Oct-20,Information,1.024793388
Nov-20,Information,1.155555556
Dec-20,Information,1.414634146
Jan-21,Information,1.75
Feb-21,Information,1.144329897
Mar-21,Information,1.088235294
Apr-21,Information,1.125
May-21,Information,1.371428571
Jun-21,Information,1.372727273
Jul-21,Information,1.70754717
Aug-21,Information,1.56779661
Sep-21,Information,1.495652174
Oct-21,Information,1.504201681
Nov-21,Information,1.692982456
Dec-21,Information,2.09009009
Jan-12,"Trade, Transportation, and Utilities",0.762886598
Feb-12,"Trade, Transportation, and Utilities",0.753201397
Mar-12,"Trade, Transportation, and Utilities",0.784667418
Apr-12,"Trade, Transportation, and Utilities",0.710762332
May-12,"Trade, Transportation, and Utilities",0.697986577
Jun-12,"Trade, Transportation, and Utilities",0.709641256
Jul-12,"Trade, Transportation, and Utilities",0.77662037
Aug-12,"Trade, Transportation, and Utilities",0.800861141
Sep-12,"Trade, Transportation, and Utilities",0.87755102
Oct-12,"Trade, Transportation, and Utilities",0.6030871
Nov-12,"Trade, Transportation, and Utilities",0.764837626
Dec-12,"Trade, Transportation, and Utilities",0.897091723
Jan-13,"Trade, Transportation, and Utilities",0.826859046
